,Essay_set_id,Essay_id,Essay
19,8,19,one time really bad day feeling sad angry frustrated mom asked wanted come upstairs laugh hesitant went sat bed started joking around time done felt better knew made mom happy best feeling world
20,8,20,one day woman meeting friend cafe friend told husband proposed ecstatic crying laughing simultaneously woman happy laughed laughed
21,8,21,one time party friends talking good time one friends started seizure everyone alarmed started panic pulled us together fact started laugh relief could gotten really helped calm crowd laughter definitely one best things something bad happens
22,8,22,1987 new doctor small town upstate new york one first patients 92 year old woman died previous year walked room could tell much loved around room pictures family kept framed touching picture husband beaming happiness started examine could see severely anemic discussing history symptoms told thought might blood transfusion required health became upset said want go transfusion explained way healthy agree procedure finally much reluctance consent wheeled operating room began operation started laugh laugh laugh never seen anything quite like transfusion best thing ever happened laughter one powerful human emotions important use often laughter helps us connect people make us feel happy fuzzy inside also great way relieve stress next time find tough situation try find laughter help
23,8,23,husband driving home visiting parents weekend already late exhausted merged onto freeway husband suddenly said wow almost top hill smile say yep see lights town minute words leave mouth break hysterical laughter believe said know joke felt good laugh loud believe muchneeded break heavy emotions day
24,8,24,upon time family went vacation son left computer charger home parents buy new one got back home youngest son accidentally left favorite toy doll hotel got back youngest son excited see doll parents disappointed left hotel naturally youngest son laughter first thing heard got home put smile everyone face including parents reinforced positive connection
25,8,25,middle school library studying test headphones plugged ears best focus sitting back library floor scoot far away door possible order stay warm large window front let lot light able see person walking outside engrossed studying even notice came window started trying open surprised heard door open saw person walking away quickly unplugged headphones pulled ears turned around see friend elementary school started laughing hard crying sit ground calm moment one best experiences life showed much fun could together even though away long
26,8,26,one time mom cooking dinner little brother four time crawling kitchen counter trying get peek pork roast cooking oven mom trying keep eye stir potatoes time laughing hard crying happy sight started laughing seeing mom content happy made realize essential laughter lives made feel closer reminded matter happened everything would always okay
27,8,27,grandmother used say laughter best way change bad mood every time managed make laugh even middle stubborn teenage tantrum would eventually calm come around learned laughter one powerful tools world used change situation
28,8,28,first time ever laughed really hard kid little brother trying put toy car washer car kept falling would laugh every time laugh every time think
29,8,29,son two years old loved watch babies toddlers laugh one day shopping saw baby wearing mickey mouse outfit started laughing hard help smile knew laughing son one best ways enjoy life
30,8,30,one time mom grocery store trying tie shoe really tight tried laugh really difficult finally gave walked around store shoe foot mom staring could tell sad finally realized laughter one things needed life without things get pretty serious
31,8,31,early twenties living parents finished first year college working retail job save money one clients wealthy family always got hair done salon one day walked salon saw client mother grandmother sitting waiting room walked greet grandmother said know coming hair bad embarrassed tried show sat across andstarted cut hair working mother started laugh eventually grandmother started laugh gradually started laugh eventually laughing hard stop paying attention hair go home experience taught two important lessons first good sense humor important relationship second laughter great way relieve stress
32,8,32,household laughter always present parents always laughed joked one another siblings would sometimes join always nice hear laugh feel happy even alone find feeling hearing parents laugh make mood lift
33,8,33,years ago friends bar great time someone next table started insulting one friends getting bad could tell friend starting feel uncomfortable instead standing defending started laughing like tension building room dissolved good time made friend feel lot better finally felt like could relax
34,8,34,remember day husband walking dog left grocery store bag groceries weighed walking little bit slower normal husband behind carrying little dog suddenly dog started chasing rabbit husband started laughing surprised laughing help laugh fun moment made walk home much enjoyable
35,8,35,one day woman know trying clean house get done starting get frustrated went outside sat curb take break sitting noticed group kids playing street kids laughing blast realized needed start laughing wanted enjoy free time outside started smile laugh good reminder take time fun
36,8,36,upon time two friends walking woods came across really big tree one friends said climb top tree pretend tree friend said way climb climbed top tree started playing pretend laughing hard even see around eventually stopped laughing realized dangerous situation quickly climbed tree safely made way back friend laughter might gotten serious trouble
37,8,37,dad used tell old joke two guys standing grocery store one saying believe buying food guy responds know believe buying food dad would always laugh tell joke people room would one things made family fun grown older realized laughter really best way show care laughter makes relationships feel concrete real
38,8,38,shortly wedding husband lying bed watching movie gotten married still adjusting new lives together suddenly heard loud crunching sound coming outside bedroom window husband sprang bed ran window saw large sharp tree branch snapped half right outside window naturally started laughing sound laughter felt amazingly good reminded us matter happened day would always
39,8,39,working group high school students college prep course even though adults acted like children one day one students particularly obnoxious fed started laugh long whole class followed suit quickly realized chuckled together felt better day students became much cooperative respectful
40,8,40,kid family would go vacation every summer mom would pack bags weeks trip would spend week packing cleaning house day trip drive spend whole day unpacking time got hotel tired would crash every night mom would make dinner would good time get laughing hard stop best way end day
41,8,41,husband first started dating would always make laugh even telling jokes would make day time relationship became serious started miss lighter moments together decided start dating first thing get lunch catching joking around like always refreshing realized much missed much relationship improved
42,8,42,grandmother always told following joke lady went restaurant two daughters ordered pizza pizza arrived older daughter said mother daddy says pizza big grandmother responded well daughter order pizza bite soon daughter relayed message grandmother began laugh hysterically put hand mouth muffle noise customers restaurant began chuckle soon whole establishment uproar grandmother explained daughter happened daughter laughed hard started cry entire experience demonstrated power laughter create bonds people far stronger type connection
43,8,43,one cherished memories family vacation mom took disney world 4 years old highlight trip definitely got meet mickey mouse mom sitting line minnie playhouse getting really excited nowhere started laughing really happy spontaneous laugh kind laugh feels good makes world seem little bit better mom followed suit soon laughing like crazy one best feelings ever count number times laughed years since always makes feel good way little laugh mom beginning amazing relationship
44,8,44,years ago wife road trip two young children really tired driving day go bed really stressed everything going wrong right hit hay youngest threw massive tantrum room wife started laugh completely relaxed us best way end trying day
45,8,45,four years old family vacationing outer banks north carolina one afternoon went water taxi ride dock secluded bit beach ride quite short seemed like took forever scared mind pulled beach guide yelled remember everybody get boat time froze terror anticipation hilarity time laughing hard crying friends family laughing best day ever
46,8,46,emily party finished telling joke emily giggling laughing noticed everyone around us glaring realized said something really mean everyone giving cold shoulder stopped laughing apologized emily laughter lot important us
47,8,47,one time kid dad cleaning garage got old cans paint trying figure put one top fit started laugh started laugh started laugh harder harder eventually pushed cans top pile fell laughed even fun moment
48,8,48,one time restaurant family sitting around table eating meals little brother getting really cranky finally spat mashed potatoes table said hate place mom started laughing hard even dad got little larson calmed finished meals think laughter important part family meal made us happy
49,8,49,one time grocery store saw woman shopping cart filled six bags groceries putting last bag leaned back threw head back laughed thought cute started laughing laughing hard speak minutes best moment day
50,8,50,one time grandma telling joke chicken duck chicken says duck get little ducky duck responds please grandma scared chicken dives water grabs duck grandma laughing hard crying laughing hard crying joke funny emotional connection even better
51,8,51,best friend mom used say laughter best medicine really bring tape dad laughing making fun would always make feel better something shared us really helped build relationship
52,8,52,one time friends restaurant laughing hard crying best time ever
53,8,53,one time friend rachel serious discussion something sudden started laughing weird laughing thing driving crazy end made discussion lot tolerable
54,8,54,many years ago husband living apartment windows way light room turn light hallway one night husband trying sleep could hear people hall partying started laugh could tell trying keep eventually cracked laughter like light darkness helped us get tough time
55,8,55,family went first camping trip foursome two brothers excited spend weekend wilderness however within minutes setting tent faced serious problem water supply right next tent full mosquitoes since excited camp want give trip yet tried find another water source tough trails area gave went bed exhausted walking around mosquito infested area fell asleep really quickly hours later woken loud noise sounded like someone banging tent got opened door find large group ants marching line next tent needless say camping trip turned disaster laughed asses entire time incident ants funny unexpected also showed top passionate get things funny laughter important part relationship helps reduce stress makes us feel closer friends family
56,8,56,high school dated guy months always making laugh nice around someone made feel good sometimes movie watching homework come hilarious story comment start laughing hard fall chair always make sure find way make laugh best times ever
57,8,57,8 years old parents took see show local arena show terrible thing made tolerable laughter people audience even though little boy thought funniest thing world would get caught laughter would forget show terrible
58,8,58,woman endured really tough year struggling make ends meet everything seemed make things worse one night sitting around apartment feeling really heard knock door opened found friend college standing smiling ear ear without even saying word friend hopped inside wrapped tight hug without even needing asked friend knew exactly needed hugged could feel laughter bubbling inside brief moment felt like everything going alright
59,8,59,son baby often laughed hard vibrate kick covers amazing five often laughs hard hold stomach sometimes think life serious times think funniest thing ever love laughter important part life
60,8,60,best friend used stay night talking laughing matter time day would stay chatting laughing sun came laughing important part relationship made conversations much enjoyable whenever conversationless us would seize opportunity laugh lighten mood life would much harder without laughter
61,8,61,son young would often put things mouth one time ate whole paint wife got home saw disgusting paint sitting son highchair laughed hard felt relieved happy son fine could clean paint laughing one way connected son showed loved
62,8,62,worked call center one main ways dealing disgruntled customers laugh usually worked customer good mood would usually willing try work solution problem personally think important least one source laughter life makes everything feel little bearable
63,8,63,years ago pleasure hosting dinner party closest friends special evening always laughed stomachs ached towards end night noticed husband son looking bit sad asked wrong admitted missing laughter friends even though live near us anymore hearing laugh brought close us special way clear laughter powerful tool connection one simplest things make someone day next time find struggling laugh take moment remind worth
64,8,64,husband got married knew wanted really fun wedding one things work really hard making everyone happy saw idea wedding everyone gets comedy cake pops knew wedding started lot people laughing great see everyone good time course cake pops big hit hope everyone enjoyed much
65,8,65,remember grandma died tough aunt able console lots laughter would giggle chuckle sometimes even cry good made us feel closer like really okay really family left gone least could still laugh
66,8,66,one time aunt visiting saw puppy playing yard picked put purse pup began bark aunt started laugh happy able make pup laugh really made visit memorable
67,8,67,one time grandma sitting porch reading book sudden started laugh really hard guess really amused reading pretty weird seeing laughing like really nice
68,8,68,family probably best example laughter important relationship always joking around making laugh even disagreements usually come agreement trading funny stories always easy definitely worth laughing together probably best way build strong relationship
69,8,69,one day grandmother sitting living room watching tv cat popcorn sat arm chair next popcorn kept meowing grandmother seem getting interested show finally grandmother reached petted popcorn show finally ended popcorn got go food dish walked past grandmother meowed grandmother laughed petted simple action enjoying company loved one even things going well really comforting
70,8,70,party friends good time one friends spilled drink started laugh laugh laugh started laugh even though done really embarrassing really good see much fun made awkwardness disappear
71,8,71,one time mom shopping groceries behind could hear constantly cracking turned around ridiculously huge watermelon front laughing hard crying gasping air laughter contagious started laughing got grocery shopping great time
72,8,72,one time husband dinner party friends eating tacos one friends asked ever tried taco sauce tried really good tasted started laughing stop fun dinner party partly sauce
73,8,73,wedding bride groom really shy barely spoke wedding ceremony started laughing really cute made ceremony much enjoyable
74,8,74,friend mine joking around crazy dads dad really intense guy dad funny guy good time laughing asses really enjoyable
75,8,75,years ago best friend sarah conversation first jobs sarah intern publishing company clerk convenience store us idea going survive first days job one day sarah recounting experiences great laugh refreshing way relax forget tedious work tasks laughed relationship seemed gel even better
76,8,76,years ago husband visiting friends house enjoying immensely sitting around talking laughing friend 2 year old daughter came running room carrying piece paper excitedly handed husband took paper started reading paper said mommy daddy going laugh hard scream laughed able great time together
77,8,77,one time dad telling joke mom laughing hard crying made really happy know made dad feel really good really special moment family history never forget
78,8,78,husband dating would often go walks around block one time walking kept trying flip kept laughing silly even though always laughing together walks always seem relaxed fun start good joke
79,8,79,brother toddler would constantly put things mouth one time mom found eating grape embarrassed even look brother started laughing laughed cried cutest thing ever seeing laugh like relief helped bridge gap mom
80,8,80,cleaning room one day found piece paper taped door paper said mad laugh angry able mymathhomework beating found note broke laughter first time able relax enjoy since homework trouble started
81,8,81,kid aunt bernice always made us laugh tell jokes funny voices tell us stories made us laugh even stories make laugh sometimes sit around laugh anymore remember vividly sit us us little acting pretend somebody make us act part obnoxious best friend nosy sister mean girl even though usually hate playing parts always lot fun laughed felt like could really connect aunt bernice even though never really saw often laughter always special part family
82,8,82,husband first dating would laugh hard stomachs would ache best way connect even though sometimes much fun together used laughter still one ways connect
83,8,83,grandmother used tell funny story grandfather apparently grandfather young man fell love beautiful girl loved back poor one day told continue date provide grandfather turned said provide marry day find story hilariously adorable
84,8,84,kid family would go vacation beach every summer pack car drive hours finally arrive beach house spend next days eating hot dogs playing waves one favorite memories brother caught cone full sand hands started laughing hard cried moment pure joy laughter even though children laughter helped make vacation unforgettable
85,8,85,grandmother used tell story young friends would always go play always careful get lost one day playing park got lost getting quite alarmed heard laugh followed laugh found way back park laughter led back home lesson never forgot laughter definitely important relationship way connect someone else share common experiences make everyone feel comfortable
86,8,86,younger always thought parents funniest people world whenever would see laughing would make day even though always sure laughing early memories favorite laughter also really important therapist one things helped work lot patients start feel better often able laugh problems
87,8,87,one time grandparents visiting us grandma cooked us amazing dish absolutely loved unfortunately grandpa seem enjoy much grandma getting little bit frustrated could say anything grandma burst laughing caused grandpa start laughing tension completely broken really showed valuable laughter family setting
88,8,88,one time friends club good time girl interested came started talking turned really nice person laughing good time together left never forget great felt finally around someone laugh
89,8,89,usually laugh family friends even something really funny usually makes laugh dad always says laughs way show cares whether poking fun someone else hilarious laughter definitely incredibly important relationships
