essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
11,1,"dear @location1, @caps1 peopl acknowledg great advanc comput give us, also put us @caps1 disadvantages. comput known help develop health issues. peopl becom intun onlin world, tend interact famili less. forget danger onlin predat - they'r deadly. @caps1 peopl nothing, watch televis often refer cauch potatoes. glu comput screen better. state numer @location2' top doctor much time spent comput caus damag health. exercis highli stress doctor around globe exercis comput addict type storm. submerg obesity. often caus depress begin sink in. addit seriou health issue. surpris add comput wing rehab center sometim near future. problem slowli spread must come togeth abolish them! famili time treasur value, @caps2 people, lately, comput ruin tradition. @caps1 peopl absorb onlin drama, friends, even video games, famili interact declining. peopl slowli remov realiti enter altern world cyberspace. @month1 emerg room use bathroom eat, scarc resting. caus great tension sorrow @caps1 families. eras horrifi stori abduct memories? onlin predat highli danger extrem clever. children could talk someon believ anoth teenag look friend consol when, really, forty-year-old serial killer wait find right time attack. studi show one fourth onlin user encount danger person.",4,4,8
12,1,dear @caps1 @caps2 feel comput take away peopl life arenâ€™t import factor life. first know world becom obeas lack exercise. also peopl realiz @caps3 warm becom big problum. final famili arn't close use be. reason comput arn't import human socioty. first world becom obeas cumput play huge part this. comput make peopl exercis basicli sit couch use comput help amarica get back shape. also comput becom habbit person use comput everyday life becom addict abl stop. final peopl use comput realiz lack exersis getting. first reason computer bad thing. next @caps3 warm mealt polar ice caps. comput play part @caps3 warm use electricti thjen electris melt polar ice caps. keep happin melt shorlin half world fluded. final comput play huge part @caps3 warm fact popular. anoth reason comput bad. final last reason comput bad take away famili life. instanc famili split sientest sat @percent1 time technolagy. peroson comput peopl feel love comput love themselfs. split good. last reason feel comput bad. conclut see computer bad thing. first see amarica becom obeas computers. also comput caus @caps3 warm eventu goung flood earth. last least comput take away peopl famili life caus split becom unhappy. reason comput bad.,4,4,8
13,1,dear local newspap ra ur argument comput think posit effect people. first reson think good effect much like live mane ur cuzin live califan could wed chat. second thing could look news world could stuck plane would vari bore take ur comput go ur comput work start work. said take away exirsi well peopl use comput chart fast run meni mile want sometim eat. thrid reson peolp job comput make comput exmpl made artic didnt use type writer use comput print didnt comput would make ur @caps1 lot harder. thank read whe think adout agen plea consit thrie resons.,4,3,7
14,1,three detail news paper articl one state opinion effect computers. second give detail reson persuad local newspap agre yor postition. three idea news paper article. bigin opinion comput effect wast time. mani peopl wast time comput like fat peopl inst inst comput go run exercising. inst comput go ur girlfriend famili famili friend fun. incomput long bad mani kid wach bad stuff like adults. good comput long. start shod agre becasu detail reason. reson mani air ba stuff like porn. mani kid wach ruin ther mainli futur. get addict watching. peopl use comput good stuff old mid good gane good. detail reson yor me. bigin go organ idea well present clearly. good comput long inst go plat exersus. abd yor enjoy life inst computer. bad thing mani kid wach bad stuff cmputer relli bad staff. comput use evry thing days. organ ideas. conclus idea news papaer. ol state opinion comput effects. give detail reson persuad local news paper agre me. think organ idea much present clearly. idea could new papaer se comput effects.,3,3,6
15,1,"dear, world today everyon use computers. comput posit effect people. teach hand-ey coordination, give peopl abil learn faraway place people, even allow peopl talk onlin people. today comput like world biggest book knowledge. everyth need know computer. look faraway places, zap there everyth need know write front you. comput fast easy, everyon use them. today kid addict comput everyday them. mani websit kid teen go on, like @caps1, facebook ect. websit kid young ten year old chat friend put pictures. ther also webchat websit allow use webcam talk peopl anywher world. comput great way get touch people. everyon comput home today.",3,3,6
16,1,"dear @organization1, comput blink life imag blond hair girl fill screen. easi find life @location2, thank actual @caps1 girl explain it. go librari fill one priceless inform human interection. comput nessess life soceiti wish grow expand. support teach hand eye coordination, give peopl abil learn faraway places, allow peopl talk other online. firstly, comput help teach hand eye coordination. hand-ey coordin use abil usod excel sports. recent survey, @percent1 kid felt hand eye coordin improv comput use. even simpl thing like tie build skill. famou neurologist @caps2 @person1 state articl last week that, ""@caps3 comput strength @caps2. computer, automat process eye see command hands."" @caps4 hand eye coordin improv peopl sport basebal basketball. someon wan't becom better sports, they'd need turn computer. peopl becom better sports, they'r like play becom healthy. reality, comput help exercis instead decreas it. additionaly, comput allow peopl access inform faraway place people. someon want reasearch @location1, they'd need type search would present would link forev search countless things. also, abil learn cultur make peol peol cultures, understand other something. increas toler peopl are. comput resourc tool help peopl everi differ aspect life. lastly, comput technolog allow peopl chat. comput chat video chat help differ nations. bring good term place help us understand stori come someth happend @location3, peopl go comput ask actual @location3 citizen take matter. also, video chat onlin convers cut expens phone bills. one want pay economy. anoth good point acess famili member scaresli visit. help connect within famili more. oviously, comput use aid today era. advanc push world foreward better place. comput help peopl help teach handey coordination, give peopl biliti learn faraway place people, allow peopl talk onlin others. think world comput technological advancements. world would sector unified, contact peopl scare, inform even. internet like thousand librari put together. nobodi would know much nation news would travel slower. kind palc want peopl live in?",6,6,12
17,1,"dear local newspaper, beliv comput neg effect peopl lives. beliv spend much time comput get much should, spend enough time family, comput can't everything. first reason beliv peopl need get more. get out, exersis unhealthy. instead watch game score get play game. also beliv enjoy natur feel like wast beauti natur around them. want wast abil privalg would we? anoth reason spend enough time family. famili near you, take advantag interact one another. fun famili play games. also fun hang out, boost social skill comput can't alway that, bring next point. comput can't everything, take advantag now. comput time fine, danger get addict it. comput @month1 lot information, noth can't find book. comput can't love dog, reason get computer. pleanti thing can't computer, includ sports, take care family, hobbys. rememb comput @month1 great time time, live life you. beliv spend less time computer, time get out, fun family, comput can't everything.",4,4,8
18,1,"dear local newspaper, must admit expert centainli right caus know peopl stay comput day thatâ€™ realli good ask me. instead comput learn faraway places, talk people, go exercising, relax, interact famili friends. exercis much better computer, say say this. comput sit play onlin game check thing out, whatev case @month1 be, get board, hungry, know there snack around whatev doing. instead comput @num1 @num2 hour mayb even day get fat. mani way exercise. take walks, go joggin, could play sport, mean lot thing computer. know peopl could workin day still come home computer. rest good also. alway jump computer, could relax watch movie, eat pop corn enjoy yourself, could even take nap littl someth alway get straight comput realli use it. way see family, comput alway go time one important. friend alway depend realli need around select few, that point. family, true friend feelings, spend time comput gonna leave, come back home someth right. tomorrow promised, live today. enjoy life got chance, spend time someth active, famili friends, realli computers, tri balanc time out.",4,4,8
19,1,aegr waf evansm ov tnachnolage. evansm ov tnachnolig halp fine kohar froi alnsas. tnanchnolag waf ont ot wod go moon. tnachnolog evan maech at. peopl tnacholeg frchr fror good ov live. fama invanyor ue tnacholag leki lena ord dvans fling mashine. tnacholog grat,2,2,4
20,1,"well comput good bad thing. don'@caps1 reali see @caps2 comput bad thing me. also know @caps2 comput help peopl around world. think comput posit effect peopl like me. comput teach hand-ey coordination. help need find reasearch school project. creat lot thing comput like music, desin @caps1-shirts, logos, banner lot creativ things. comput look avail home apartments. even go onlin fill job applic save trip store @caps2 cool that!! well im regular person rich famou comput provid lot inform peopl use today. that think comput posit effect peopl don'@caps1 super smart use one.",3,3,6
21,1,"dear @caps1 @caps2 @caps3 daily, write address issu comput societi today. day new discoveri made peopl use comput society, howev mani peopl say comput harm communtiy. today go convinc societi comput much issu peopl say are. begin discoveri nation advanc rapidly. day new discoveri benefit societi howev made possibl help computers. without comput dieseas would never discov people. would died. secondly, comput also increas medic care cave life death. finnaly, comput help speed product rate car household neccessitys, mani objects. ever bore home look someth dark, rainy, chilli night? yes, exactli thought well new technolog advanc social-network even help bore lonelyest peopl give someth do. even look talk someon easili internet. peopl look special someon alway abl look somewhere. social network like twitter, myspace, facebook, youtub alway someth do. econom recest seem find job hard, howev internet come rescu yet again. internet help find job twice three time fast. mani peopl also speed word use computer. microsoft thing lot easier work need make hope everyon understand much comput help you, rather hurt you. @caps1 newspaper, hope rest commun see comput help hurt you. thank much time effort put listen me.",4,4,8
22,1,dear local newspap @caps1 take comput given peopl around world stay hous chate famili friend. comput help peopl around world connect peopl comput help kid homework look staff happen around world.,2,1,3
23,1,"dear local newspaper, @caps1 ever see child comput hour noth could get off? well believ harm child sinc allow exersice, interact face face peopl use mind best @num1. advanc societi get laziar forget essenti things. think take step back use comput could benefit societi use them. obes @location2 highest @percent1 kid @location3 agre exersic week would rather spend time computer. think this, @percent1 kids. that @num2 @caps2 children. took compar @caps3 children benefit technology. learn @percent1 children exersic week. that' less comput @location3 @percent2 children overweight @percent3 develop heart blood problem adults. exercis go play friend bike, go jog. sound hard it? make spend comput think reduc obes amount believ @caps2 ran overal country. comput popular websit like @caps5, @caps6, @caps7. websit allow interact peopl island. could way one. comput websit allow anyon talk peopl could interest mind. @num3 @num4 peopl school say one account person post them. person info, could websit crime rate gone @percent4. also, websit caus peopl social skills. peopl spend hour websit talk peopl forget talk face face. @percent2 @location1 student say would say someth onlin say someone' face. creat problem school could possibl make someon hurt someon els themselves. i'v heard news suicid comput believ less peopl would spend time famili nation would closer safer. comput dont allow explor natur use mind best ability. comput make easi myself, think make laziar allow read book read people, instead go librari get book. comput take away time actual use mind problem solv real life solution. there' year i'v learn comput hour play realiz all. without them, would make difference. kid live comput chang them.",5,5,10
24,1,"dear local newspaper, i'v heard mani peopl think comput benefit society. disagre that. comput benefit societi teach hand-ey coordination, allow peopl learn foregin places, allow peopl commun other online. peopl basic born hand-ey coordination, peopl weren't, like me, example. but, thank computers, hand-ey coordin gone up! ""on average, comput increas person hand-ey coordin @percent1 say @person2. think it, learn tye, hand-ey coordin go @percent1.! that' amazing! good hand-ey coordin get far life, help small, everyday thing play instrument, household chores. also help sports. need good hand-ey coordin throw, catch, aim. peopl spend time computer, population' hand-ey coordin would increase, want thats. ever heard @location1? countri @location2 one realli know much about. look computer, becom expert country! comput give us access lot knowledge, make us peopl around world. improv travel. instead go place everi vacation, go place saw onlin look exciting. also, learn countri peopl them, gain respect them. @month1 also learn traditions, culture. ""the internet give us access world,"" say @person1, ""we learn mani new thing make us people, countries, environment."" @caps1 right, also awar environment. sinc global warm problem, learn preserv foreign place learn internet. click mous virtual whose world fingertips! recent studi @percent2 peopl said time meet old friends. internet, howev made quick easi talk peopl online. websit like @caps2, @caps3, @caps4 keep social life tact, even reunit yu old friends. example, @caps2 suggest family. keep touch wih mani peopl trough @caps2! also, make new friends. teen say alway will meet new people, internet great way so! site like @caps7, @caps8 help find friend connect chat room random person, talk. talk someon @caps7 hour! found @caps4 account keep touch there! also help gain confid @month1 courag say someth comput would't say real life. comput realli amp social life. see. comput ""your barain,"" imprdov hand-ey coordination, help learn far away places, improv social life allow talk others. comput benefit societi anymor ever know!",6,5,11
25,1,"dear @caps1, @caps2 off, beilev comput helpful mani peopl look information, talk friends. although mani kid spend time outside, comput well-occupi environ help kid learn interact others. believ kid right stay comput long desire. although, alway make time go outside, hang friends, ect. comput @month1 fun alway import get outsid enjoy nature. anoth reason student spend time comput health. child get addict comput affect interact @month1 seriou damag brain. although, believ children right computer, alway import spend time outsid enjoy nature. anoth reason think children right comput inform learn discover. mani kid grow career comput make program designing. kid @month1 educ onlin teach others. comput non-stop gener intellig base help peopl learn, play discover. mani peopl dream one day build comput make new programs. student right spend time comput also save time spend outsid friends. everyon perspect think stay comput day good thing. think kid might affect health think them.",4,4,8
26,1,"think comput useless? think could use mani ways? rememb @caps4 older sister research @caps1, comput gave inform needed. issu grappl is, peopl use computers, everyon agre benefit society. strongli think @caps2 benifit societi mani ways! here why, comput allow get touch friends, research people, place things, relax enjoy play fun, entertain website! first reason @caps2 allow talk famili friend get back touch friend move diffrent state, easili get back touch straight computer. ""@caps2' nice send email pictur friends, @caps2 comput @caps2 get done much faster!"" @caps3 @person1, one neighbors. next reason research anyth want like people, place thing reffer come up. @caps2 good research projects, school assign @month1 have. rememb @caps4 brother work project. everyth troubl with, found directli computer! final reason alot fun excit websit relax play on! websit keep busy, wont bore playing! ""@caps4 im bore go comput play games, find @caps5.com,"" @caps3 younger cousin, @person2. comput @month1 make peopl becom adict them. ye but, learn interest thing internet works. peopl use computers, everyon agre benefit society. strongli beleiv benefit society, here get touch people, research, play fun games! @caps2' never decid think! call talk through.",5,4,9
27,1,"comput good get infermation, play games, get pictures, comput might find someth someon bad viris. ther vri might want shut comput get worse. websit kids, like games, teen games, adult games. also pictur bad kid time lead inapropreit pictures. look inferm need thing like wepon knifes. also differnt kind compani like @caps1&t @caps2. @caps2 good place get comput @caps1 @caps1&t.",2,2,4
28,1,"dear newspaper, comput high tec expand everyday thing. play big role society. comput improv mani differ thing without would bare get thing done. although kid start goind outsid more, comput teach kid new things, useful. comput kid rare go outside. lot popul @location1 obese, includ kids. stay insid computer. kid need go outsid evri get fresh air exercise. limit time comput activ game would better child. sinc comput rapidli grow adapt kid spend half day stare screen play flash game, like run escape. instead wast time go outside, take walk something! comput teach kid new things. googl someth like trees. would get bunch websit conta inform trees. kid also play games, know it, game play teach stuff, example, littl sister, goe site call nickeloden.com see right teach stuff know before. type game prepar kindergarden. day site keep adapt becom known like bing. comput real useful. suppos want know what goind work. click mous internet explor get email. computers, could go social network sites, like facebook connect friends. also go instant messag site talk friend see to. entertain could play games. rememb though stay long. comput big deal community. life would difficult without them. rememb stay long! although kid start go outside, computers, teach kid new things, useful.",5,4,9
29,1,"dear local newspaper, @caps1 peopl throughout world use, computers. although @caps1 peopl think comput good you, other could say different. comput becom socal talk friend family. also, comput @month1 notic but; hand-ey coordin improving, finally, abl search click button, instead search topic dozen books. comput @caps1 benefits. one chating, talk onlin friends, family. @month1 distant friend talk while. computr abl connect buddy. acount safe chat on, @month1 abl make new friends. would good you, socally. alway good friends, stay touch family. peopl find hard play piano cannot look music hand someth else. computr hand-eye-coordin improv time because, search topic hand typing. also, great memori excirsis fingers. eventu memor key located. peopl without computr search @caps1 book find inform topic. other computers, type topic inform need right infront them. abl see pictur topic even video's! @caps1 book know, search topic, show pictures, video one resource! @caps1 peopl debat fact computr good not. ask me, computr great people. allow peopl socal, talk old friends; also improv hand-ey coordination, finally; give option search topic without hastl search dozen books. question you; comput good people, not?",5,4,9
30,1,"dear newspap people, think comput benefit societi reasons. comput make work easier thing peopl can't like solv difficult problems, kid like play game them. comput make work easier neater. type often faster writing, alway easier read. studi also shown peopl use comput work finish faster @percent1 free time whatev want. comput also e-mail, allow send work done boss without print wast paper. comput solv difficult problem peopl either can't do, want wast time doing. need solv math problem use calcul computer. figur yourself. lot math problem homework think much easier use calculator. last reason comput good kid like play game them. lot peopl say kid play comput game educational. even non-educ game help kid fun someth look forward work done. @percent2 kid say happier someth fun look forward to, happier kid better work. hope read understand much comput contribut society.",4,4,8
31,1,"agre comput deffin advantag society. think help us commun video chat famili friend online, use great tool school work, work purposes. enjoy children fun comput game help prepar real life consequences,lik game webkinz teach kid care pets. ""@caps1 @caps2?"" @caps3 @caps4, @caps5. ""@caps6, pleas friend request me"", replied. later night, get home check @caps2, new notif pop friend @caps5 @caps4. entir famili @caps2 think useful sever reasons, like make plan parties. hate write invitations, everi year birthday parti type up, take less five minutes. or, even simpler way send invat even type email @caps2 message. fact, got invit parti yesterday @caps2. easy, creat event tag friend note. also, easi get @caps13' automat get notified. technolog like drastic make life easier. example, ever gotten someth new can't wait show friends? well, can, comfort home. need webcam instantli connect one friend one too. ""@caps14, @person1! love done room, pink wallpap cute!"" said. ""@caps15 you! love hair today. pretty,"" say @person1. love webcam friend see hear exact you. see, webcam much easier spend time money, mom time get ride house. comput make life much convienent. anoth exampl much easier comput help school work. ever write report? well, mani time teacher especi enjoy type mani student messi hand write kid like write anyways. like myself, type faster write that' agre @percent1 comput benefit society. importantly, comput help find good job onlin even help type great resum you. impress would be? appli profession posit job, know i'll type resume. conclusion, that' comput helpful, beneficial, import fun society.",4,6,10
32,1,"dear local newspaper, @caps1 name @person1 @organization1 citizen. believ comput benefit societi all! @caps1 opinion, make town worse. peopl spend way much time comput less time exercising, enjoy nature, interact famili friends. thing @caps3 comput societi time make stop it! first all, peopl comput way much. teen social network sites, adult chatrooms, kid play comput games. instead that, peopl play outside, go walk park. know @percent1 adult overweight? peopl cut back amount time indoors, could probabl bring number way down. also, know @caps3 teen computer. comput good thing also bad. example, chatroom know @caps3 kind peopl chatrooms. children need care @caps3 say show internet. instead play game talk boyfriend girlfriends, teen go outsid exercise. second, citizen need enjoy natur beauti seneri around them. busi run check e-mail, notic @caps3 beauti day outside. nice @date1 @date2 day, peopl take kid local park pond. remind last @date2 went @caps1 cousin house. @caps1 aunt allow us watch one hour day, includ computer. outsid everi singl day, even stare clouds. kept us activ enjoy environment. @caps1 last reason comput badli affect societi comput take time away interact famili friends. know @caps3 thinking, comput talk famili friends, same. instead instant messag call them. mayb even invit talk face face. remind @caps1 sister. get home, normal @caps2. now, instead get come talk text ""@caps3' up?"" ""@caps4 day?"" comput help peopl communicate, also take commun away. see, given three reason strongli believ comput badli @organization1. @organization1 everywhere! need open eye understand peopl spend way much time computers, allow peopl enjoy nature, interact families. pleas i'm ask understand societi crash fix issue. @caps3 go it?",5,5,10
33,1,"dear, @organization1 think effect comput peopl realli positive. comput use sort things. exampl like find thing history. peopl chang world information. comput give power children learn. example, lot websit offer onlin tutor good way help pass school. posit way onlin date sites. meet new peopl good way make life even better. popular site like @caps1, @caps2, @caps3, make good way keep touch friend past, even make new ones. think that best opinion go school online. done collog nuse, exampl get higher degre like regist nurs @organization2. think comput posit effect people.",3,3,6
34,1,"dear @location1, @caps1 rumor go around say comput negit affect child life. disagree. comput help kid mani ways, help student homework, let student talk friends, help school projects. besides, kid stay comput long anyways. homeworks, big role school, wors get down. that' comput websit help child learn problem social studi question know. go school web page there link bring math games. there even scienc website. help child get stress homework. comput also help student interact friends. social life import @num1 grater. comput aim, facebook, even myspac help kid impact friends. kid got fight school come home work leav unseatled. comput also new friend towns. teen need make new friesnd help life. teen help ask help. everi student get take home project social point time run store buy paper pencils. stay home, money type essay. comput help social studi scienc project. print pictur find information. draw hastl messy, save time mess. @caps1 word dont understandd look out. comput best way project. computers, everyon use them, help parent much uss. help us homework, let us talk friends, even help us projects! comput one best technolog @date1.",4,4,8
